,Symbol,Contract_Type,Product_Name,Asset_Class_Id
4,ZC,Future,Corn Futures,2
5,ZC-ZC,Future,Corn Futures,2
6,ZC:BF,Future,Corn Futures,2
7,ZC:CF,Future,Corn Futures,2
8,KE-ZC,Future,KC Hard Red Winter (HRW) Wheat Futures,2
9,ZC-MZC,Future,Micro Corn Futures,2
12,XC,Future,Mini-sized Corn Futures,2
13,XC-XC,Future,Mini-sized Corn Futures,2
14,XC:BF,Future,Mini-sized Corn Futures,2
15,MZC,Future,Micro Corn Futures,2
16,MZC-MZC,Future,Micro Corn Futures,2
17,ZO,Future,Oats Futures,2
18,ZO-ZO,Future,Oats Futures,2
19,ZO:BF,Future,Oats Futures,2
20,ZO:CF,Future,Oats Futures,2
21,ZR,Future,Rough Rice Futures,2
22,ZR-ZR,Future,Rough Rice Futures,2
23,ZR:BF,Future,Rough Rice Futures,2
24,ZR:CF,Future,Rough Rice Futures,2
25,ZS,Future,Soybean Futures,2
26,ZS-ZS,Future,Soybean Futures,2
27,ZS:BF,Future,Soybean Futures,2
28,ZS:CF,Future,Soybean Futures,2
29,ZS-MZS,Future,Mini-sized Soybean Futures,2
30,SOM:SI,Future,Soybean Futures,2
31,XK,Future,Mini-sized Soybean Futures,2
32,XK-XK,Future,Mini-sized Soybean Futures,2
33,XK:BF,Future,Mini-sized Soybean Futures,2
34,MZS,Future,Micro Soybean Futures,2
35,MZS-MZS,Future,Mini-sized Soybean Futures,2
38,ZM,Future,Soybean Meal Futures,2
39,ZM-ZM,Future,Soybean Meal Futures,2
40,ZM:BF,Future,Soybean Meal Futures,2
41,ZM:CF,Future,Soybean Meal Futures,2
43,MZM,Future,Micro Soybean Meal Futures,2
47,ZL,Future,Soybean Oil Futures,2
48,ZL-ZL,Future,Soybean Oil Futures,2
49,ZL:BF,Future,Soybean Oil Futures,2
50,ZL:CF,Future,Soybean Oil Futures,2
52,MZL,Future,Micro Soybean Oil Futures,2
56,OSF,Future,Soybean Oilshare Futures,2
57,OSF-OSF,Future,Soybean Oilshare Futures,2
58,ZW,Future,Wheat Futures,2
59,ZW-ZW,Future,Wheat Futures,2
60,ZW:BF,Future,Wheat Futures,2
61,ZW:CF,Future,Wheat Futures,2
62,ZW-MZW,Future,Micro Wheat Futures,2
63,ZW-ZC,Future,Wheat Futures,2
