"Account Name","Street","City","State","Zip Code","Main Phone","Website"
"ABN AMRO Clearing USA LLC","175 W. Jackson Boulevard, Suite 2050","Chicago","Illinois","60604","(312) 604-8000","www.abnamroclearing.com/en"
"Alpha Trading L.P.","10 Abbas Even Boulevard
Suite 208","Herzliya Pituach","","4672528","(408) 990-1940","https://www.alpha-trading.com"
"AmerX","40 Wall Street, Ste 1704","New York","New York","10005","(212) 306-2700","https://www.amerx.com"
"Apex Clearing Corporation","One Dallas Center 350 N. St. Paul, Suite 1300","Dallas","Texas","75201","(214) 765-1100","www.apexclearing.com"
"Archipelago Securities L.L.C.","353 N Clark St, Suite 3200","Chicago","Illinois","60654","(312) 836-6700","www.nyse.com"
"Axos Clearing LLC","15950 West Dodge Road
Suite 300","Omaha","Nebraska","68118","(402) 384-6100","www.axosclearing.com"
"BMO Capital Markets Corp.","151 West 42nd Street
9th Floor","New York","New York","10036","(212) 702-1200","www.bmocm.com"
"BNP Paribas Securities Corp.","787 7th Avenue","New York","New York","10019","(212) 841-3000","www.bnpparibas-us-info.com"
"Barclays Capital Inc.","745 Seventh Avenue","New York","New York","10019","(212) 526-7000","www.barcap.com"
"Bay Crest Partners, LLC","40 Wall Street, 42nd Floor","New York","New York","10005","(212) 480-1400","www.baycny.com"
"Beacons Strategic Capital, Inc","1054 Snipe CT","Carlsbad","California","92011","(212) 480-2640","www.mullerequities.com"
"Bernstein Institutional Services LLC","245 Park Avenue","New York","New York","10167","(212) 756-4631","www.bernsteinresearch.com"
"BofA Securities, Inc.","1 Bryant Park","New York","New York","10036","(646) 743-2734","www.bankofamerica.com"
"Bolt-X LLC","440 South Lasalle Street, 1525","Chicago","Illinois","60605","(312) 244-5900","www.dartexecutions.com"
"Brendan E. Cryan and Company, L.L.C.","14 Wall St. 20th Floor
Ste 2049","New York","New York","10005","(212) 285-1191","https://www.bcryanco.com/"
"Brownstone Investment Group, LLC","505 5th Avenue, Floor 10","New York","New York","10017","(212) 905-0525","www.brownstone.com"
"CBOE Trading, Inc.","8050 Marshall Drive, Suite 120","Lenexa","Kansas","66214","(913) 815-7000","www.batstrading.com"
"CIBC World Markets Corp.","300 Madison Avenue","New York","New York","10017","(212) 856-4000","www.cibcwm.com"
"CLSA Americas, LLC","1301 Ave Of The Americas, 15th Floor","New York","New York","10019","(212) 408-5888","https://www.clsa.com"
"Capital Institutional Services, Inc.","1700 Pacific Ave, Suite 1100","Dallas","Texas","75201","(214) 720-0055","www.capis.com"
"Citadel Securities LLC","830 Brickell plaza","Miami","Florida","33131","(305) 929-6851","www.citadelsecurities.com"
"Citicorp Securities Services, Inc.","388 Greenwich Street","New York","New York","10013","(212) 723-7600",""
"Citigroup Global Markets Inc.","388 Greenwich Street","New York","New York","10013","(212) 816-6000","www.citigroup.com"
"Clear Street LLC","4 World Trade Center
150 Greenwich Street, 45th FL","New York","New York","10007","(646) 845-0036","https://clearstreet.io/"
"Clearpool Execution Services, LLC","17 State Street, 38th Floor","New York","New York","10004","(212) 531-8500","www.clearpoolgroup.com/"
"Credit Agricole Securities (USA) Inc.","1301 Ave Of The Americas","New York","New York","10019-6022","(212) 261-7000","https://www.ca-cib.com"
"Curvature Securities, LLC","39 Main Street","Chatham","New Jersey","07928","(908) 304-9200","www.curvaturesecurities.com"
"DRW Execution Services, LLC","540 West Madison Street
Suite 2500","Chicago","Illinois","60661","(312) 542-1000","www.drw.com"
"DRW Securities, LLC","540 W Madison St, Suite 2500","Chicago","Illinois","60661","(312) 542-1000","www.drw.com"
"Daiwa Capital Markets America Inc.","1251 Avenue of the Americas
49th Fl","New York","New York","10020","(212) 612-7000","https://us.daiwacm.com/"
"Dash Financial Technologies LLC","200 South Wacker Drive, Suite 2450","Chicago","Illinois","60606","(312) 663-3655","www.dashfinancial.com"
"Davenport & Company LLC","901 East Cary Street,
Suite 1100","Richmond","Virginia","23219","(804) 780-2000","www.davenportllc.com"
